Subcategory name;Subcategory code;nvcrTimeSerieAreaName;Catalogue code;Measure name;Measure code
;;;;Total fuel at yard total;TOFUYATO
;;;;Total fuel at yard unloaded;TOFUYAUL
;;;;Total fuel maneuvering loaded;TOFUMALO
;;;;Total fuel maneuvering total;TOFUMATO
;;;;Total fuel maneuvering unloaded;TOFUMAUL
;;;;Total fuel moored loaded;TOFUMOLO
;;;;Total fuel moored total;TOFUMOTO
;;;;Total fuel moored unloaded;TOFUMOUL
;;;;Total fuel moving loaded;TOFUMVLO
;;;;Total fuel moving total;TOFUMVTO
;;;;Total fuel moving unloaded;TOFUMVUL
;;;;Total fuel out of traffic loaded;TOFUOTLO
;;;;Total fuel out of traffic total;TOFUOTTO
;;;;Total fuel out of traffic unloaded;TOFUOTUL
;;;;Total fuel per day anchored loaded;TOPDANLO
;;;;Total fuel per day anchored total;TOPDANTO
;;;;Total fuel per day anchored unloaded;TOPDANUL
;;;;Total fuel per day at yard loaded;TOPDYALO
;;;;Total fuel per day at yard total;TOPDYATO
;;;;Total fuel per day at yard unloaded;TOPDYAUL
;;;;Total fuel per day maneuvering loaded;TOPDMALO
;;;;Total fuel per day maneuvering total;TOPDMATO
;;;;Total fuel per day maneuvering unloaded;TOPDMAUL
;;;;Total fuel per day moored loaded;TOPDMOLO
;;;;Total fuel per day moored total;TOPDMOTO
;;;;Total fuel per day moored unloaded;TOPDMOUL
;;;;Total fuel per day moving loaded;TOPDMVLO
;;;;Total fuel per day moving total;TOPDMVTO
;;;;Total fuel per day moving unloaded;TOPDMVUL
;;;;Total fuel per day out of traffic loaded;TOPDOTLO
;;;;Total fuel per day out of traffic total;TOPDOTTO
;;;;Total fuel per day out of traffic unloaded;TOPDOTUL
;;;;Total fuel per day steaming loaded;TOPDSTLO
;;;;Total fuel per day steaming total;TOPDSTTO
;;;;Total fuel per day steaming unloaded;TOPDSTUL
;;;;Total fuel per day still loaded;TOPDSLLO
;;;;Total fuel per day still total;TOPDSLTO
;;;;Total fuel per day still undefined loaded;TOPDSULO
;;;;Total fuel per day still undefined total;TOPDSUTO
;;;;Total fuel per day still undefined unloaded;TOPDSUUL
;;;;Total fuel per day still unloaded;TOPDSLUL
;;;;Total fuel per day total loaded;TOPDTOLO
;;;;Total fuel per day total total;TOPDTOTO
;;;;Total fuel per day total unloaded;TOPDTOUL
;;;;Total fuel per nautical mile maneuvering loaded;TONMMALO
;;;;Total fuel per nautical mile maneuvering total;TONMMATO
;;;;Total fuel per nautical mile maneuvering unloaded;TONMMAUL
;;;;Total fuel per nautical mile moving loaded;TONMMVLO
;;;;Total fuel per nautical mile moving total;TONMMVTO
